,lon,lat,mPET_v_11,Ta2_11,PET_v_11,WBGT_11,mPET_v_12,Ta2_12,PET_v_12,WBGT_12,mPET_v_13,Ta2_13,PET_v_13,WBGT_13,mPET_v_14,Ta2_14,PET_v_14,WBGT_14
25.112862_121.47104,121.47104,25.112862,42.25831079101561,31.08731,41.75831079101551,32.776174179077145,43.6275246582031,31.406525,43.44952465820324,32.867952476501465,44.15963159179674,31.378632,44.029631591796765,32.53893674850463,43.587993408203005,31.886993,43.00799340820312,33.81767900085449
25.112938_121.49161,121.49161,25.112938,42.32136132812483,31.370361,41.641361328124965,32.34531459999084,43.495816894531096,31.624817,43.4858168945311,32.482259185791015,46.2453798828124,31.61438,46.60537988281232,32.102280490875245,43.79602807617177,32.185028,43.626028076171806,33.40106551361084
25.113007_121.51218,121.51218,25.113007,42.70147607421869,31.300476,42.1714760742186,32.18330367660522,42.99922998046867,31.49823,42.56522998046881,32.32205325889587,45.73341210937497,31.472412,45.76341210937496,31.956616331100467,44.57673486328117,32.065735,44.60673486328116,33.28912036323547
25.113083_121.532745,121.532745,25.113083,42.26219628906244,30.851196,41.75219628906234,31.826714765548704,42.38645410156244,30.965454,41.686454101562376,31.97987762069702,42.74323022460924,30.94223,42.15323022460935,31.623468084335325,45.30027490234362,31.569275,45.140274902343656,32.97559467124939
25.113136_121.553314,121.553314,25.113136,41.81453173828139,29.782532,41.09353173828121,31.728935924530028,41.81062988281262,29.77063,41.03162988281247,31.834750955581665,42.13108911132808,29.81009,41.65108911132798,31.529412704467774,44.55867333984374,30.427673,44.21867333984361,32.86863810920715
25.113205_121.57388,121.57388,25.113205,40.23358422851555,28.742584,39.43358422851551,30.974793094635007,41.22444116210929,28.683441,40.48444116210924,31.11800808143616,40.82960791015642,28.810608,39.92160791015625,30.888258531570436,43.25582421874986,29.444824,42.87582421874993,32.184024145126344
25.113258_121.59445,121.59445,25.113258,40.47603051757813,28.37503,39.666030517578086,30.79936826515198,40.29850561523453,28.274506,39.49550561523435,30.92703090286255,39.51288720703124,28.371887,38.85288720703117,30.76244682121277,41.16106372070328,29.134064,40.1930637207032,32.03942632293701
25.11332_121.61502,121.61502,25.11332,41.0888735351561,29.257874,40.338873535156274,31.3921987991333,40.61058618164056,29.169586,39.920586181640495,31.552370822906493,40.69811914062494,29.29712,40.00811914062488,31.366493915557864,41.53039697265618,30.069397,40.62039697265616,32.641816673278804
25.113365_121.63559,121.63559,25.113365,42.112871337890624,30.011871,41.60287133789053,31.92853624343872,41.77360986328109,29.86261,41.17360986328121,32.18031933784485,43.061734863281096,30.190735,42.83173486328114,31.95719460105896,43.18402734374995,30.853027,42.93102734375003,33.22268904113769
25.13134_121.42981,121.42981,25.13134,42.88236596679676,29.181366,42.422365966796846,32.00277083396912,41.95410180664056,29.523102,41.44410180664046,32.19948693275452,41.989238525390455,29.038239,41.45923852539056,31.75283059310913,42.08458276367187,29.953583,41.344582763671816,33.05186855316162
25.131424_121.45038,121.45038,25.131424,43.12113061523423,30.29013,42.941130615234265,32.63792582511902,42.19320947265617,30.70221,41.64320947265608,32.809720783233644,43.17175073242177,30.55075,42.86175073242183,32.432369377136226,42.91744531249986,31.106445,42.2174453125,33.63426629257202
25.1315_121.47095,121.47095,25.1315,41.94809838867205,30.932098,41.23309838867184,32.33104327964782,43.481070800781225,31.26007,43.25107080078107,32.488232200622555,43.65974877929681,31.248749,43.56974877929683,32.126179576873774,43.996501708984354,31.795502,43.7865017089842,33.33537927627563
25.131569_121.491516,121.491516,25.131569,41.51883325195304,30.997833,40.85883325195297,32.18567258071899,43.42532373046873,31.244324,43.165323730468586,32.31705978393554,44.74157739257806,31.310577,44.65157739257808,31.931511661529544,44.75579858398421,31.824799,44.75579858398421,33.23591390228271
25.131638_121.512085,121.512085,25.131638,40.98287622070308,30.641876,40.56287622070296,31.79981658935547,43.32591088867179,30.81491,43.11591088867184,31.93962682723999,43.45913232421866,30.898132,43.35913232421868,31.56541299057007,45.6533937988281,31.422394,45.94339379882804,32.923657857894895
25.131706_121.53265,121.53265,25.131706,39.14201196289054,29.631012,38.49201196289047,31.013932472229005,42.10462182617182,29.743622,41.68462182617171,31.189732484817508,40.20226831054682,29.831268,39.682268310546725,30.834713479995727,44.21026147460923,30.399261,44.03026147460927,32.2008510055542
25.13176_121.55325,121.55325,25.13176,38.6385463867187,28.297546,38.05854638671862,30.658218444824215,40.77996118164055,28.278961,39.75996118164055,30.82514109802246,39.92120996093741,28.34021,39.25120996093734,30.53015537261963,42.647379394531136,28.97638,42.13737939453124,31.867266292572022
25.131836_121.57382,121.57382,25.131836,37.725786376953074,27.374786,37.175786376952985,29.982097564697263,39.9819045410155,27.270905,39.11190454101548,30.15381331253052,40.17830834960924,27.397308,39.30830834960921,29.91685040283203,42.04502587890608,28.064026,41.4150258789062,31.21407653427124
25.13189_121.59439,121.59439,25.13189,39.025602050781096,27.154602,38.19960205078136,29.84577536010742,39.55701318359365,26.976013,38.747013183593616,29.996218881607057,39.808148437499874,27.077148,38.97814843749984,29.81187890434265,40.61332543945299,27.852325,39.77332543945296,31.081680179595946
25.131935_121.61496,121.61496,25.131935,40.83816186523423,27.997162,40.00016186523458,30.41796460914612,39.49882104492176,27.797821,38.748821044921705,30.56900397872925,39.62466577148425,27.913666,38.85466577148421,30.35898422050476,40.39479882812487,28.643799,39.49479882812485,31.63689383506775
25.131989_121.63553,121.63553,25.131989,41.49325708007805,29.032257,40.71325708007801,31.12335622024536,40.35037866210928,28.769379,39.670378662109215,31.32260697364807,41.38400903320308,29.053009,40.53400903320305,31.07995364952088,41.7486953125,29.637695,40.94869531249996,32.32136567497253
25.149971_121.42972,121.42972,25.149971,39.32832788085921,29.417328,38.708327880859336,32.15886223220825,42.68446801757796,29.773468,42.43446801757801,32.29950812339782,39.06497827148423,29.233978,38.374978271484366,31.83158649253845,41.12845117187482,30.137451,40.19145117187509,33.199372419357296
25.150055_121.45032,121.45032,25.150055,41.25968090820318,30.19168,40.432680908203096,32.230396646499635,44.39889916992174,30.6279,44.14889916992179,32.39571697807312,41.02317041015615,30.41217,40.58317041015624,32.01119813156128,43.3443471679687,30.993347,42.8443471679686,33.24581614875793
