,鄉鎮名稱,村里名稱,用電量_2011,用電量_2012,用電量_2013,用電量_2014,用電量_2015,population_2011,population_2012,population_2013,population_2014,population_2015,人均用電量_2011,人均用電量_2012,人均用電量_2013,人均用電量_2014
113,大安區,正聲里,,7840.0,10200.0,27776.0,36600,5232.0,5207.0,5157.0,5201.0,5201.0,,1.5056654503552909,1.9778941244909831,5.340511440107671
114,大安區,華聲里,,,3680.0,,2555,4577.0,4556.0,4556.0,4518.0,4518.0,,,0.8077260755048288,
115,大安區,龍坡里,33.0,80.0,80.0,80.0,748,6475.0,6381.0,6279.0,6225.0,6225.0,0.005096525096525096,0.012537219871493496,0.012740882306099698,0.01285140562248996
116,大安區,黎孝里,468.0,1528.0,4041.0,5244.0,1747,7712.0,7799.0,7810.0,7897.0,7897.0,0.060684647302904564,0.195922554173612,0.5174135723431498,0.664049639103457
117,大安區,芳和里,32866.0,2131.0,2158.0,6842.0,2556,6129.0,6114.0,6114.0,6033.0,6033.0,5.362375591450482,0.3485443245011449,0.35296041871115474,1.1340958063981434
118,大安區,永康里,36983.0,68982.0,75758.0,83420.0,86029,4027.0,4099.0,4100.0,4046.0,4046.0,9.183759622547802,16.828982678702122,18.477560975609755,20.617894216510134
119,大安區,虎嘯里,4053.0,5485.0,31485.0,27594.0,22562,3759.0,3767.0,3791.0,3813.0,3813.0,1.0782122905027933,1.456065834881869,8.305196518069112,7.23682140047207
120,大安區,龍雲里,394419.0,379585.0,370948.0,353756.0,350281,5209.0,5238.0,5164.0,5132.0,5132.0,75.7187559992321,72.46754486445208,71.83346243222309,68.93141075604053
121,大安區,龍淵里,1840553.0,1828091.0,1734916.0,1799618.0,1769761,10141.0,10288.0,10400.0,10363.0,10363.0,181.49620353022385,177.69158242612752,166.81884615384615,173.6580140885844
122,大安區,龍圖里,1783721.0,1802771.0,1777536.0,1751007.0,1808682,7054.0,7049.0,7102.0,7116.0,7116.0,252.86660051034875,255.74847496098738,250.28667980850466,246.06618887015176
123,大安區,臨江里,1170471.0,1158052.0,1112016.0,1112642.0,1124495,4346.0,4314.0,4307.0,4323.0,4323.0,269.3214450069029,268.44042651831245,258.1880659391688,257.3772842933148
124,大安區,光武里,2716372.0,2681566.0,2504705.0,2572571.0,2590644,8239.0,8249.0,8202.0,8155.0,8155.0,329.69680786503216,325.07770638865316,305.3773469885394,315.45935009196813
125,大安區,龍陣里,1015891.0,1009352.0,995557.0,999132.0,985662,3659.0,3675.0,3672.0,3700.0,3700.0,277.6417053839847,274.65360544217685,271.1211873638344,270.0356756756757
126,大安區,建安里,1966200.0,2011949.0,1914234.0,1954580.0,1935740,5289.0,5296.0,5303.0,5234.0,5234.0,371.75269427112875,379.8997356495468,360.9719026965868,373.4390523500191
127,中山區,永安里,863959.0,2462703.0,2022796.0,2070655.0,2381037,9912.0,9926.0,10028.0,10081.0,10081.0,87.16293381759483,248.10628652024985,201.71479856402075,205.40174585854578
128,中山區,成功里,1770686.0,2719183.0,2668511.0,2812591.0,3028717,6693.0,6912.0,7060.0,7102.0,7102.0,264.5578963095772,393.400318287037,377.9760623229462,396.0280202759786
129,中山區,北安里,,458948.0,192087.0,204126.0,539536,2855.0,2846.0,2843.0,2889.0,2889.0,,161.26071679550245,67.56489623637003,70.65628245067498
130,中山區,中吉里,1645278.0,,1559423.0,1633658.0,1676838,5812.0,5797.0,5846.0,5831.0,5831.0,283.0829318651067,,266.75042764283273,280.16772423255014
131,中山區,晴光里,1926324.0,2226989.0,1896158.0,2120766.0,2092074,5122.0,5234.0,5351.0,5432.0,5432.0,376.0882467786021,425.48509743981657,354.35582134180527,390.4208394698085
132,中山區,民安里,957064.0,985236.0,971010.0,1032118.0,1017742,4918.0,4847.0,4815.0,4841.0,4841.0,194.60431069540465,203.26717557251908,201.66355140186917,213.20347035736418
133,中山區,新庄里,1224372.0,1302999.0,1107244.0,1201924.0,1206555,5061.0,5086.0,5173.0,5231.0,5231.0,241.92294013040902,256.19327565867087,214.04291513628456,229.76945134773464
