,district,village,population_2011,population_2012,population_2013,population_2014,population_2015
305,南港區,三重里,4662.0,5423.0,6015.0,6529.0,6529.0
306,南港區,中南里,4178.0,4129.0,4061.0,4027.0,4027.0
307,南港區,中研里,9396.0,9475.0,9448.0,9564.0,9564.0
308,南港區,仁福里,5849.0,5847.0,5910.0,5997.0,5997.0
309,南港區,玉成里,5112.0,5167.0,5187.0,5207.0,5207.0
310,南港區,合成里,7100.0,7240.0,7176.0,7217.0,7217.0
311,南港區,成福里,6722.0,7560.0,7811.0,7872.0,7872.0
312,南港區,百福里,5322.0,5437.0,5520.0,5607.0,5607.0
313,南港區,西新里,4994.0,4978.0,5041.0,5070.0,5070.0
314,南港區,東明里,5679.0,5694.0,5753.0,4962.0,4962.0
315,南港區,東新里,7205.0,7395.0,7494.0,7668.0,7668.0
316,南港區,南港里,6610.0,6711.0,6758.0,6713.0,6713.0
317,南港區,重陽里,4636.0,4354.0,4411.0,5352.0,5352.0
318,南港區,新光里,3926.0,3944.0,3947.0,3998.0,3998.0
319,南港區,新富里,4215.0,4254.0,4221.0,4257.0,4257.0
320,南港區,萬福里,4269.0,4289.0,4292.0,4359.0,4359.0
321,南港區,聯成里,5348.0,5411.0,5407.0,5429.0,5429.0
322,南港區,鴻福里,4751.0,4772.0,4778.0,4859.0,4859.0
323,南港區,舊莊里,9671.0,9728.0,9792.0,9837.0,9837.0
324,內湖區,大湖里,5504.0,5548.0,5647.0,5724.0,5724.0
325,內湖區,五分里,11517.0,11576.0,11772.0,11795.0,11795.0
326,內湖區,內湖里,6054.0,6099.0,6043.0,6095.0,6095.0
327,內湖區,內溝里,4991.0,5004.0,5060.0,5061.0,5061.0
328,內湖區,石潭里,2857.0,3247.0,3455.0,3690.0,3690.0
329,內湖區,安泰里,5585.0,5721.0,5757.0,5847.0,5847.0
330,內湖區,安湖里,8382.0,8454.0,8400.0,8450.0,8450.0
331,內湖區,行善里,6653.0,6798.0,6808.0,6871.0,6871.0
332,內湖區,西安里,6701.0,6818.0,6797.0,6876.0,6876.0
333,內湖區,西康里,9192.0,9386.0,9459.0,9629.0,9629.0
334,內湖區,西湖里,7805.0,7870.0,7796.0,7837.0,7837.0
335,內湖區,秀湖里,6400.0,6442.0,6477.0,6457.0,6457.0
336,內湖區,明湖里,5453.0,5591.0,5760.0,5874.0,5874.0
337,內湖區,東湖里,9093.0,9047.0,8956.0,8879.0,8879.0
338,內湖區,金湖里,10008.0,10119.0,10346.0,10402.0,10402.0
339,內湖區,金瑞里,6941.0,7061.0,7043.0,7070.0,7070.0
340,內湖區,金龍里,5638.0,5586.0,5597.0,5668.0,5668.0
341,內湖區,南湖里,5624.0,5834.0,5866.0,6003.0,6003.0
342,內湖區,康寧里,9426.0,9544.0,9644.0,9568.0,9568.0
343,內湖區,清白里,8222.0,8336.0,8502.0,8628.0,8628.0
